I don’t trust doctors.  I don’t trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,You feel that your immune systems is strong enough to protect you from getting covid-19 and you don’t trust the motives of the health system and pharmaceutical industry. You don’t think they are telling us the truth about COVID-19.  They have ulterior motives.,Putting your trust in others is hard for you. It scares you that a company or entity potentially could be experimenting on you with their treatments.,You believe God will protect you from COVID-19.,"Well, we don’t know who is naturally able to avoid getting COVID-19.  The vaccine is the best way to avoid it even if you have a good immune system.  Most religious leaders are recommending that their congregants get vaccinated. ",Do you think everyone in healthcare is in it for the money?,"Otherwise, the fight against COVID is hard, so stop these thoughts.","Well, taking covid vaccine can help you in developing immunity against the virus. You won't be able to spread the virus among your closed ones. This can create a safe environment for everyone. So my advice is that you should get vaccinated as soon as possible.",How does your opinion affect the people around you?,antivax
Of course I would like to lose weight. But I hate diets. I've tried them all. Every time I end up feeling deprived and hungry. Then I gain all the weight back. I’m getting ready to give up.,"Controlling your weight and improving your health are important to you. You have tried a lot of things and put a lot of effort into this. But because the effects of these diets haven’t lasted and they just make you hungry, you are getting discouraged.",You are starting to wonder if there is another way to go about this without depriving yourself.,Diets haven't worked for you in the past.,"Well, you will have to try work on relapse prevention. Diets don’t work anyway.",Don't you know how bad yo-yo dieting is for you?,You need to try more foods. There are plenty of good tasting healthy food.,"Remember if you want to change the action is up to you, so stop making excuses.",Have you thought of incorporating light exercise into your routine instead?,weight management / exercise
"We eat at Wendy’s a few times a week. It’s cheap, fast, my kids like it, and it’s better than those other places.  There’s a lot worse we could be eating.  Sure, there are better foods than that, but I don’t have time to cook.","You know that there are better options than fast foods, but it tends to work out better for your schedule since it's fast. If you could find a way to get healthy foods into your kids quickly, it might be something you'd consider.  ","Because there aren’t a lot of healthy foods in your house and money is tight, it makes it hard to eat better. So fast food is one of your only options. However, you care about your health and are starting to think about eating better than fast food.",You don't have time to cook so fast food works out best for you.,"You know, Wendy’s is no better than McDonald’s, so you are not doing yourself any favors by eating there.  It’s also more expensive than you think.",Why do you think that Wendy's is better than other fast food places?,MAYBE DO A SMALL FOOD PREP ONCE A WEEK AND MEAL PLAN OR COOK IN BIGGER BATCHES AND FREEZE HALF,Why do you not have time to cook?,I think you should try to make some time in your schedule for cooking decent meals for your family; you will be really happy you did that if you try it.,weight management / exercise
"I really need to find someone to exercise with. I can’t do it alone.  I just need someone to remind me or do it with me, but there is no one.","So, it’s interesting you have not mentioned your husband. I assume that he would not be helpful in any of this.",Finding an accountability partner is something you've thought about trying. You think you might be able to be successful with exercise if you weren't on your own.,You'd be more successful if you could find someone to exercise with.,"Sometimes you just have to rely on yourself to get things done. Instead of wishing there was someone else to exericse with, get off the couch and go for a walk in your neighborhood with the dog. ",Why don’t you exercise with your husband?,"I understand your need for someone to push you, but this should teach you that only you can show up for yourself.",There are lots of people! I'm sure we can find you a group.,"Have you asked any friends? If none of them are willing, there are so many online groups where you may find that support. What have you tried so far?",weight management / exercise
"Look at you, were you ever heavy? How can you really relate to me?",You’re concerned that if I have not struggled with my weight that I won’t be able to understand you or won’t be able to help you.,You're concerned that I won't be able to relate to you because of my weight.,You don't think I can relate.,Actually I was heavy! I lost 70 pounds so I know you can lose weight too.,Why does that matter?,What's at issue here is how you feel about yourself. My role here is to help you find the good things about yourself that will give you a way to understand that you are a great person with much to offer. The fact is that skinny people are no more immune to problems than heavy ones.,"This is a strange thing, but being heavy is something we can all change.",I may not be able to relate to you but i am here to listen,weight management / exercise
"I know I need to eat better.   But I live alone, I’m a lousy cook, and I have no time or interest to learn how.  Sure, McDonalds is poison but it’s fast and cheap and I’m not embarrassed to eat there alone.","You really wish you could find a way to eat healthier and get away from fast food, but you struggle because cooking for one is difficult.",You struggle finding meals for one. You'd like to eat healthier but since you don't have time to cook finding restaurants where you're comfortable eating alone is limiting.,You know you could eat better than you do.,There are other fast food options healthier than McDonalds. Don't go there.,You're embarrassed to eat alone?,You will surely not be embarrased by eating better either. Just a little direction in basic cooking will go a long way in opening your cooking possibilities. It is not all just gourmet items.,"He doesn't invest excuses, living alone doesn't mean anything. The action just depends on you.","McDonalds might be cheap in the short run, but in the long run it's costing you life.  There are so many good bloggers and YouTubers that offer simple recipes. Can we look for some of those?",weight management / exercise
"I really need to start exercising, but I hate the GYM. I joined the one nearby my house, but I never go. Everyone is so young and skinny; I hate those young girls in their little outfits. There is no way I would go there again, it was horrible.","Although you don’t want to go the gym by your house, there is a gym at work. But you didn’t mention that as an option so I’m assuming that wouldn’t be a great solution for you.",You've really been thinking a lot about what you can do to improve your health. You've gone so far as to join the local gym but you didn't have the best experience when you were there.,You don't like going to the gym for exercise.,Seems like you're too focused on what others are doing or what they think about you. You need to focus on yourself.,Why do you care what everyone else looks like?,"Start exercising alone, just start and stop investing excuses.",So don't go. You can exercise at home or simply go out for a walk.,Your health condition is so  important than other .Ignore others. Try to fit yourself.,weight management / exercise
"I have tried every diet under the sun. To be honest Doc, I would love to lose weight but at this point I don't think I can do it. Maybe I need one of those stomach staples.",You’ve put a lot of effort into trying to lose weight. You’d really like to lose weight but haven’t found the right program that works for you quite yet.,None of the diets you've tried have worked for you. You're starting to think that surgery might be helpful.,You don't think you can lose weight on your own.,"You won't lose weight with that attitude. Looking at your food recall, I see several areas you can make changes without resorting to major surgery. ",Have you tried counting calories and weighing your food?,What if we get you a dietitian that way you can speak to? They’re going to be able to come up with a plan that fits you specifically. Woukd you be interested in that?,"No, you can do it, but this is something you might want.","You must first change your mindset, diet is not enough either, there must be physical exercises",weight management / exercise
"I have no energy.  The thought of working out now is out of the question.  I used to bike and play tennis but that seems a lifetime ago.  I would love to feel alive again, but I am just so tired all the time.",Getting back to regular physical activity is really appealing to you but also seems a bit out of reach. You’re excited to get back to a place where you feel invigorated again.,"You used to bike and play tennis but that seems a bit outside your reach right now. If you could find a way to be active that wasn't super draining, it might be something you'd try.",You frequently feel depleted and lack energy.,There are lots of exercises you can do that don't leave you feeling drained.,Why do you think all exercise is draining? What about walking?,I would recommend taking walks outdoors. Do easy things until you start feeling more energy.,Maybe you're running low on vitamins. Make an appointment with a doctor and do some tests to find out how your health is. This can help.,I would suggest walking at least 10 minutes a day and gradually building up from there.,weight management / exercise
I've tried the Atkins diet and I lost a lot of weight. Then gained it all back. Then I tried the Zone diet but felt really hungry all the time. I just don't know what to do. I’m at my wit’s end.,"You have put a lot of effort into losing weight but it has not paid off. You are starting to feel a bit desperate. Diets don’t seem to work for you. You are looking for something different that might last.
","While you've had some short term success with some of the diets you've tried, you've yet to find something that will work for you over the long haul. ",You've tried a couple diets and they didn't work for you.,You could try eating healthy foods and avoiding unhealthy foods. Then you don't have to follow a diet plan.,Do you think you're actually ready to change?,"If you lost a lot of weight on the Atkins diet, then that shows that you are capable of doing it. You just have to keep at it.",I will advice that you visit a dietician to help you determine the best form of diet that works for you and your body type.,Follow the instructions of a doctor who specializes in the area and don't do things because you think it's best.,weight management / exercise
"I just hate to exercise. Was never good at sports in school.   I know I need to lose weight, but I am not going to the gym. It just isn't going to happen.",Sports and physical activity haven’t always come naturally to you. You’re starting to consider what it would take to lose a couple pounds but at this point going to the gym just isn’t an option for you.,You really dispise organized sports and gyms. You'd like to lose weight and might be able to be successful if you could other ways to be active.,Going to the gym isn't an option.,"Research shows weight loss is more successful with diet changes than increasing exercise, so let's focus on what you're eating.",Why are you focused on exercise instead of what you eat?,Perhaps you can take walks around your neighborhood because any amount of activity is better than nothing.,"The change itself depends on you, you have to want to change.",What about your eating habits? Can we start there if exercise isn't something  you want to do right now?,weight management / exercise
"I start a diet every day but once I get hungry, I lose my discipline.",You really struggle to stick with your goals when you’re faced with temptation.,"If you could find a way to control your hunger throughout the day, you might be more successful. ",You really struggle with sticking to your weight loss goals when you're hungry.,I can prescribe you something to reduce hunger.,Why can't you stick to your goals?,"Discipline must be paramount, try to control yourself, it only depends on you.","My advice in this situation is that you should not think about food when you're on a diet. Eat some cucumbers  and other diet food and keep yourself engaged in some activity . This way, you will remain motivated towards yours goal.",Do you have structure in your plan? Or any specific goals?,weight management / exercise
"Of course, I would like to lose weight. But I hate diets. I've tried  them all. Each time I feel deprived and  feel hungry. Then I start to feel resentful.","You have put a lot of effort into losing weight but it has not paid off. You are starting to feel a bit desperate. Diets don’t seem to work for you. You are looking for something different that might last
",You wish that things could be different. You're tired of being stuck in a never ending pattern of trying to lose weight without success.,You're feeling burned out.,"You need to focus on eating more fruits and vegetables, rather than thinking about some food as bad. ",Are you sure you stick to the diet?,"There are plenty of tasty, healthy food out there. Yu just have to seek them out.","You need to work on your mind first, this way it is easy for you to follow through on your diet plan. When you mind is outrightly made to diet, then the rest is easy.","Don't be like that, just change your actions and you'll reap the rewards.",weight management / exercise
"I’ve done everything I’m supposed to do in this program, but it still hasn’t worked.   I’m still gaining weight. I haven’t lost a damn pound in months.",You’re frustrated that the program hasn’t worked out for you the way that you had hoped it would.,You're getting frustrated because it feels like you're doing everything you're supposed to be doing but the scale hasn't been moving recently.,You haven't been successful yet.,Let's look over what you've done to see what you missed. You should be losing weight if you're actually following the program.,Are you sure you're following the program correctly?,"Change the strategy, but remember to stick to the letter and still not give up.",Sometimes the progress made is not on the scale. How are you feeling? How is your strength? These are changes that are positive that you wouldnt see on a scale.,Check that you are following the program exactly as you should and keep pushing in the end it will pay off.,weight management / exercise
I would do about anything to lose these 50lbs.  But dieting doesn't work for me. Could you tell me what drugs or even surgery might help?,You’re starting to think about other options for weight loss besides dieting. You’re curious about medications or surgical options.,You're looking for advice for your weight loss because you're finding that dieting just isn't helping you.,You don't know what else to do.,You're not willing to do whatever it takes. You have to address your diet.,Are you sure you've given up all unhealthy food?,Eating less would be easier that any drug. It would also be healthier.,Always see what an expert in the field indicates.,you need to speak to a doctor about this,weight management / exercise
I like fruit but I like sweets more. If it’s around I eat it but not if there is cake or cookies or ice cream. I guess I need to stop buying that crap.,"Sweets can be very tempting for you. If you could find a way to keep less sweets in the house, you might be more likely to reach for fruit or other healthier snacks. ",You know that you need to start to think about your go-to treats a big differently if you want to be successful losing weight.,You like fruit but you struggle to pick fruit when there are sweets and treats around.,"Yes, you have to stop buying sweets. If it's not around, then you can't eat it.", ,"It sound like you are on the right track, the key to not eating sweets is first and foremost not to buy them.",Avoid buying or looking for sweets that are healthier for our health.,I think by not buying sweets that will help you to not eat them,weight management / exercise
"I only eat a few vegetables. Corn, raw carrots, peas, and potatoes. Not much into those slimy ones like okra, cooked peppers, and onions. Ugh! They have to be crunchy, or I get grossed out.",You know your preferences and you’ve already found quite a few vegetables that you prefer.,"You have strong preferences when it comes to vegetables. If they're the right textures for your tastebuds, you don't really struggle getting in your servings each day. ",You don't like many vegetables.,Maybe you would get more vegetables into your diet if you were willing to eat other textures besides crunchy.,Have you tried other vegetables?,ok,Eat more for health and don't taste good or bad.,It's good to have your favorites but it's important to expand your options.,weight management / exercise
"My wife does most of the cooking. But I do the shopping. If I buy vegetables, she will cook them.","You and your wife work as a team. If you stock up on healthy foods when you do the grocery shopping, then she’ll make sure that they end up in the meals that you both eat. ","You know that if you plan ahead and purchase vegetables for the week at the store, you'll be able to eat veggies at each meal all week. ",You and your wife has a pretty good arrangment going that works for you. You buy the vegetables at the store and she cooks them.,"Since your wife will cook whatever you buy, then you have to add vegetables to your shopping list every time.",Why don't you just buy more vegetables then?,That means that you need to be careful what you buy so that she can make healthy meals for both of you.,Help her too it will be good for both of them.,"It's sounds like your spouse is very supporting, would she support you in other ways to become more healthy?",weight management / exercise
"I buy fruit. But it sits in the bowl and rots. I hate having to throw out that rotten, mushy mess. It’s such a waste.","You’ve already figured out a way to get fruit into the house. Now, if you could find a way to work that fruit into your daily snacks and meals, you wouldn’t end up having so much go to waste. ","On one hand, you know that buying fruit and having it on hand is important. On the other hand, you also know that if you buy too much fresh fruit it'll go to waste before you can eat it all. ",You really hate wasting food and struggle tossing uneaten food in the trash.,You need to find shelf stable fruits so they don't go bad before you can eat them.,Why don't you buy canned instead?,"Try to buy less fruit, it is better to buy again a bowl of fruit than to get rid of it.","Eat them or give them to someone who needs them, never waste food.","It might be useful if we could talk through the thoughts you have when you see the fruit going rotten, and why you don't like to throw it out before it goes mushy.",weight management / exercise
"I’m on a tight budget and fresh fruit just costs so much.  Vegetables are a little less expensive, but you have to cook them. Fruit you can just eat.","Your food budget prevents you from buying the fresh food you’d like. You’re frustrated that the healthy foods you’d like to purchase are outside your budget. If you could find a way to fit fresh fruit into your food budget, you’d be able to eat more servings a day.","Sometimes you find that the cost of fruit prevents you from buying as much as you'd like. If you could find a way to decrease the cost, you'd be willing to buy and eat more. ",You find that fresh fruit is too expensive for your budget.,You can eat the heathier or more nutrient dense vegetables raw as well.,Can't you cut out some of the sweets you buy to pay for the fruit?,Invest in inexpensive fruits and vegetables that are good for your health.,I understand. Have you tried couponing or applying for supplemental assistance?,You can get less expensive vegetables and fruits that could fit your budget.,weight management / exercise
"I live alone and don’t cook much. Veggies take so much time and effort to prepare. So, when I go out to eat, which is 4-5 times a week, I try to order veggies.",You really put in a lot of effort when you eat out to make sure that you get in a couple servings of veggies.,"Since you live alone, you find that cooking for one is difficult. You struggle with finding ways to prepare veggies at home. ",You tend to eat out most evenings but you try to make sure you order vegetables at each meal.,You could eat raw vegetables at home.,Can't you just eat raw vegetables at home?,That's very good. I would recommend that you cook for yourself more though.,"Take one day of the week and cut all the vegetables and then cook, then put them in the freezer, when you want to eat, just heat them up.",its not good for health for eating outside so please be calm and think about it you will find a answer,weight management / exercise
"I eat at Wendy’s a few times a week. It’s cheap, it’s fast, and it’s better than those other places. There’s a lot worse I could be eating. My parents don’t buy healthy foods, and I don’t have the money to buy them.","Because there aren’t a lot of healthy foods in your house and money is tight, it makes it hard to eat better. So fast food is one of your only options. However, you care about your health and are starting to think about eating better than fast food.","Ideally you would prefer not to be eating as much at fast food. You want to eat healthy foods but struggle figuring out how to make it happen since your parents don't buy fruits and vegetables when they grocery shop.  
",Your parents don't buy healthy foods when they grocery shop.,"You know, Wendy’s is no better than McDonald’s, so you are not doing yourself any favors by eating there.  It’s also more expensive than you think. Don’t blame your parents",Why are you still getting fast food?,I would recommend exercising more until you can afford to buy healthier foods.,There's a lot of cheap and tasty things you can get at the grocery store to get more bang for your buck than Wendy's. I know it's tasty but your body will thank you if you start meal prepping a better way.,"Talk to your parents, and this will make everyone's diet more balanced.",weight management / exercise
I am so tired of my parents bugging me about my weight. They always comment on everything I eat. It is so annoying. I will deal with this my way.,"You don’t like the way your parents talk to you about your weight. They seem to be watching everything you eat, and you feel they are judging you. Part of you is interested in perhaps doing something about your weight, but you want to do it on your own terms.","You don’t like being treated like a child. You’re growing up, you’re aware of your weight, and you’ll handle it when you’re ready. ",It upsets you when your parents comment on your weight.,"Your parents love you, and want to help, and it sounds like they have good advice you should listen to.",What are your parents saying that you don't agree with?,"If what they say bothers you, then you probably do care about your weight than you think.","Try to think they are doing this out of concern. They love you. But if you get to a point where you get discouraged, talk to them. I'm sure if they love you they will continue to support you only in another way.",Have you considered that they are thinking of your health?,weight management / exercise
"I watch what I eat, never eat sugar, watch my carbs. I don’t understand why my values are so high. I’m bummed, all that effort and look what I have to show for it.",You are disappointed and surprised your blood values were not better. You have put a lot of effort into eating right. This feels unfair.,"You're not sure what's going on. You eat healthy, you've cut out sugar and carbs, and it feels like you're making all kinds of sacrifices for no reason since it hasn't impacted your lab values. ",You changed your diet but it didn't pay off.,You're clearly not doing everything you can do to improve your labs.,Have you really given up all sugar?,Eating all foods with limited quantity is good for health,"I get it. But it's not just sugar that makes you fat. There are several factors that contribute to this. I think it would be good for you to go to the nutritionist to evaluate why you are not losing fat. Through examinations, he will see what needs to be adjusted.",Maybe you should speak to your GP about this,weight management / exercise
"I get tired of checking my sugars all the time, makes  my fingers too sore. I know that I should but it hurts too much. My neighbor told me that she only checks her sugar every Monday and that tells her how she should eat for the whole week, is that true?","Checking your blood sugars is important to you, but it is difficult to check as often as you are supposed to because of the discomfort. ","If you could find a way to check your blood sugar that was more comfortable, you might consider it.",Your don't like to check your blood sugar since it hurts your fingers.,"Monitoring your blood sugar is required to make sure that you rmedications is controling your blood sugar levels. No, checking once a week can't tell you how to eat for the rest of the week. ",Do you believe everything your neighbor tells you?,"Consult an indicative doctor on the subject, do not rely only on people's words.","MAY BE BUT YOU FOCUS ON YOUR HEALTH .REDUCE THE AMOUNT OF SUGAR IN YOUR DAILY DIET ,EXERCISE AT LEAST 4 KM DAILY",You must take care of your diabetes before it gets worse.,weight management / exercise
"I know I need to lose weight. I have high blood pressure and diabetes, but I just can't seem to get started. Every day I say to myself, 'tomorrow I’ll  start a diet"". But somehow I never quite get going.","You want to do something about it, but are looking for something to jumpstart you. ",You are at a loss for why you haven’t been able to get things under control.,You want to lose weight but are struggling getting started.,"Obesity is a serious health condition. Obesity can cause diabetes, heart disease, stroke, and even cancer. ",Have you tried counting calories?,Tomorrow never comes. You need to start today before wish I knew becomes the only option.,"Health first, if you don't take care you will die, so stop making excuses that you can't change.",What if you start by doing something small everyday? Like trying a walk one day or having something healthy for lunch another.,weight management / exercise
I heard that if you eat grapefruit after a meal it burns the fat off in your stomach.,"You’ve heard that eating grapefruit after a meal help burn up the fat and you are wondering, maybe hoping, that’s true.","It sounds like you've been looking for information about how to lose some weight. If you'd like, I can share some information...",You've heard that grapefruit will help burn fat.,That's ridiculous. The only way to lose weight is to count calories and exericse.,Have you tried watching what you eat?,"Review this with a doctor specialized in the area, do not fall for false promises.",Grapefruit is healthy for you and it does have fat burning properties however it wont work without an overall healthy diet.,There are better things to do for your health than forcing yourself to eat grapefruit bro. Don't pretend it doesn't taste like shit.,weight management / exercise
I heard that you have to eliminate all carbs in order to lose weight. That would be great if it weren’t true.,You are looking for ways to lose weight that work for you but you are hoping not to have to make drastic changes to your carb intake.,You're interested in learning more about losing weight. You've started doing some research and right now you're looking for more information about carbs.,You've heard you have to elimiate carbs to lose weight.,"No, you don't have to elimiate all carbs. But, you're definitely eating way too many carbs right now. ",Have you tried starting by giving up bread?,"Though limiting carbs is important, I don't think that statement is factual. I'd recommend talking with your doctor about a forming a well balanced meal plan. Perhaps consulting with a nutritionist would helpful also.",I don’t think you have to eliminate all carbs. You just have to be better at controlling the amount of cards that you have in your diet.,"That doesn't exist, but low carbohydrate content is important in weight loss as long as it's controlled.",weight management / exercise
I am getting worried that I have not lost any weight in the past two months.  I’m wondering if maybe my metabolism has slowed.  I’m happy I lost the 15 pounds but now it seems that I can’t lose anymore. I am eating really healthy and exercising.,You're really proud of yourself for the weight that you've already lost but starting to feel frustrated that the scale hasn't moved in a while.,"You're questioning why the scale hasn't moved in a while and wondering if it may be because of your metabolism. If it's ok with you, I can share a bit more about how your metabolism works.  ",You think your weight has plateaued.,You should worry. Your weight has plateaued. Let's look over your food intake blog to determine where you can make changes.,Have you been tracking your food or calorie intake?,"If you are close to your target weight, do not worry. Excess weight can be harmful. 15 pounds is actually fine. Continue to eat healthy and exercise.","Losing weight in the beginning is easier, but over time it makes it difficult, don't be discouraged.",It sounds as if youve hit a plateau. Id suggest keep doing what you were doing previously (when you lost the 15 pounds). Its easy to become complacent and slide back into old habits after seeing a good result.,weight management / exercise
My mom said that I can’t eat anything after dinner  (which is around 5pm) because all that food goes right to your thighs.,Your mom has a lot of rules about food that she's passed on to you. You're questioning whether or not these rules are actually true.,It's frustrating when you get hungry after 5pm but feel like you shouldn't eat anything because of your mom's rule.,You don't want more weight on your thighs.,"Unfortunately, your mom is mistaken. Digestion and metabolism are complex processes that work different depending on how you feed it.",Has that been your experience when you've gained weight in the past?,"That's wrong, you can eat it, as long as it's healthy.","Well, it is not true .All the food that we eat goes into our stomach but my advice for  you is that you should eat less food at night because the digestive systems works well in day as compared to night. So , you may get fat.",Have you looked into the validity of this statement? This should be verified by a relevant medical professional.,weight management / exercise
"Every morning I go to the scale and think what’s it going to be today?  Up 2 lbs, up 4? Am I holding water again. Some days I have to wear sweatpants because I feel so bloated and uncomfortable.",You dread getting on the scale. It makes you feel out of control.,You miss wearing your nicer clothes. Wearing lose clothes makes you feel messy and unkempt.,You have to wear lose clothes to stay comfortable.,Your wardrobe should include pieces you feel good in for the days you're bloated.,How many milligrams of sodium have you been consuming everyday?,I think you should pick one day per week to weigh yourself rather than to do it every day and keep a journal. Be sure to wear same type of clothing and weigh in at the same time every week.,"Change so you know the changes are slow, but persist.",I understand what you're going through. I've been dealing with my weight for years.,weight management / exercise
I’ve spoken to so many people about my weight but everything they say just doesn’t work for me.,"You've tried to reach out for help with your weight, but you haven't found a tool that works for you just yet. ","If you could find a took that worked for you, you might finally be able to lose some weight. ",You've tried to get help.,You have to listen to your body. Let it lead you to the nutrients and portions you need.,What can you try that you haven't yet?,"If other's thoughts about your weight don't affect you, then you don't really have to do anything. If you're happy, that's all that matters.",Don't rely on anyone. See what's best and most pleasurable for you. Today people often want to impose something or compare us to someone else. But each one has its organism and metabolism. What works for one may not work for you. Then look for a nutritionist. I'm sure he can help you.,What have you been doing thus far on your own?,weight management / exercise
"I eat at McDonalds a few times a week. There’s nothing better than a Big Mac, fries, and a shake.",You love McDonald's. You're a little worried that we're going to ask you to give it up entirely.,You aren't in a place where you're ready to give up McDonald's.,McDonald's is your jam.,"If you go without eating fast food, you'll find that it doesn't quite taste the same. I think you should try eliminating convienience foods from your diet for awhile to see how your taste buds change. Then you won't crave it any longer. ",Have you looked up how many calories you're consuming in that meal?,This in the long run will greatly harm your health.,"McDonald's is really tasty, but it isn't healthy for you. Could you maybe start eating there once a week and packing lunch or dinner the rest of the week?","Fast food tastes very good and also brings confort. However, it has too much fat and sugar. So you should choose a healthier food.",weight management / exercise
"When I am really down,  a bowl of ice cream is sometimes the only thing that makes me feel better.  I know I am going to have to give it up.",You're scared that we might ask you to give up ice cream.,Completly cutting out ice cream from your diet isn't going to be an option for you. It sounds like something we might have to work in once in a while.,Ice cream really helps you get through your down moods.,It sounds like you're trying to feed your negative emotions with food. I think you should consider an anti-depressant to regulate your mood. Then you won't need a bowl of ice cream to give you a sugar rush and temporary euphoria.,What else have you tried to cheer yourself up?,You are not giving up and everyone needs something to cheer himself up. Ask for help if you need!,"Ice cream does not hurt, but everything that is in excess yes, do not get discouraged easily.","I understand that it's hard to give things up when you're down, but how about we look at some alternatives that might make you feel better as well?",weight management / exercise
"Have you ever had Krispy Kreme glazed donuts, oh my god, you have to try them.",Krispy Kreme donuts are a huge temptation for you. You're not quite sure how you can stick to a diet with that kind of temptation around.,You'd have to have a really good plan in place to be able to keep yourself from binging on Krispy Kreme donuts when they're around.,You like Krispy Kreme.,"You don't have to give up everything you love to live a healthy life. You can have less healthy options more sparingly, like a few times a years. ",Do I look like I would've eaten one?,I've had them before. There are many healthy foods that I also enjoy eating though.,Yes they are great! You just have to be careful to not eat too many at one time.,I have and they are delicious but i try not to eat them too often due to health reasons.,weight management / exercise
"I know I have to lose weight. I hate how I look and how I feel. I hate how my clothes feel. But I’m really stressed at school, and my parents are crazy. I don’t know if I can deal with anything else now, maybe in a few months.","Although right now you don’t feel you could handle working on your weight, you are starting to feel the effects and are thinking that maybe in a few months you might be able to start.",Part of you would like to start working on your weight but you're not sure this is the best time.,You know you need to lose weight. You're unhappy with how you look and feel.,"Your weight could increase in the next few months if you don't make changes now. Also, improving your nurition can reduce the effects of stress on your body. Maybe you could work on portion control if you're not ready to change what you're eating. ",How will you feel in a few months when you see you've gained more weight?,"Just start the change, and you will reap the results and know that despite the external factors you only depend on yourself.","You should not worry about your look and feel as it might increase your weight due to increased stress level. You must be calm and take it easy about the look and feel . You could start with yoga and have some diet, take a walk daily for about an hour and if possible go for cycling or jogging for half an hour per day. I am sure that you could loose your weight gradually .","Let's find one positive thing that you can handle now, establish that habit, then go forward toward your goals. We don't have to do everything today.",weight management / exercise
I know I should get more exercise. It will help with my weight and my sugar.  I used to love playing hockey. I miss the rush. But now with three kids and two jobs it’s almost impossible.  My wife would kill me if I took another night off from the kids,You’d really like to find a way to get more physical activity in but it feels like it might not be possible because of your job and family commitments.,"If you could find a way to talk to your wife about how exericse is important to you and why it would be something you'd like to try to fit into the family schedule, that could be something you might consider.",You'd like to get more exericse but don't know how to make it happen.,"If you don't find time to exercise, you may end up with serious health complications, or even an early death. Your kids, your wife need you. And you have two jobs that need you. You have to prioritize yourself. ",Wouldn't your wife be happier if you were more fit and healthy?,"You wanting to exercise for the sake of your health is a good start. And your wife should be the first person to support you, sit her down and have a conversation about this.",Can you work out at home? Maybe make it a family thing and start going for bike rides or walks together.,You should make time management for gym otherwise buy some home exercise tools.,weight management / exercise
"I know I have to lose weight.  I miss feeling comfortable in my skin. I hate how my clothes feel. I miss not feeling like a slug. I know my blood sugar is “pre” blah blah. But with losing my job and my husband getting sick I don’t know if I can deal anything else now, maybe in a few months.","While you don’t think you’re ready to put any effort into weight loss right now, you’re starting to think about what it might look like a couple months down the road.",You’ve been feeling pretty unhappy with your weight lately and wish things were different.,You don't like the way you feel in your skin.,Maybe you could work on portion control if you're not ready to change what you're eating.,Are you worried how much worse things will in a few months?,I understand it is a hard time for you. Maybe just taking small steps toward a healthy lifestyle will help you get started.,"Don't leave anything else later, follow the advice and do what has to be done.","You make an action plan with a gradual evolution, start with a light exercise routine and evolve over time, the important thing is to be constant with your routine",weight management / exercise
I used to run with my girlfriends back in DC every morning. We would stop for coffee afterwards and hang out. It was great. But that seems like a lifetime ago.  Since moving to Boston though I don’t know anyone to run with.,"If you could find someone here to recreate that daily routine with, it’d be something you’d want to do.",You really miss those mornings back in DC. You felt like you had more motivation to get daily physical activity when you had a group of friends to run with each day.,You used to run daily but don't now.,You don't need to wait for a running partner to show up in your life. There are lots of apps that could help you stay on track with your progress and goals. Maybe run a few races and meet someone there.,Can you run alone instead?,I think that you need to just start running up by yourself. Eventually as you run you going to meet people along the way and perhaps find a new running partner. I see people all the time when I’m running an always chat with.,Just start running alone and this will gradually make you create a new cycle of people.,You can see if a neighbor wants to run with you,weight management / exercise
"I know we would all be better off if we were more active, but we are so busy and so tired all the time. We did have a great time when we went camping last summer but I’m not sure we  can pull that off again.",Your busy schedule seems to stand in your family’s way of being more active.,You’ve had fun being active as a family in the past but you’re not sure what it would take to do it again.,Your family is too busy to get regular exercise.,Part of your fatigue is due to your inactivity. You don't have to go camping to be active. There are plenty of ways to get exercise at home.,Have you tried working out with your family at home?,"Perhaps taking smaller steps to stay more active will be helpful. For example, plan a short walk a few times a week with your family.","This is an excuse, and you know very well that the change comes from yourself.",Try making small changes instead of giant ones all at one time. Maybe sitting outside to drink your morning coffee and taking 10 minutes on the porch to scroll your phone instead of sitting on the couch.Adding some sunlight into your daily routine in small doses will likely encourage you to add to it and do mroe.,weight management / exercise
"I just love sweets. Cookies, candy, ice cream, you name it.  And I know it is making me fat.  I actually like fruit but my mom never buys any. She says they are really expensive and nobody eats them.","While you know that the sweets you enjoy may have played a role in your weight gain, you’ve also found that there are healthy alternatives you really enjoy.",You’d eat fruit more often if you could find a way to get your hands on more.,You think the sweets and treats you've been eating have caused you to gain weight.,Maybe you weren't ready to eat fruit before when mom was buying it. I think you can tell her you want to try again and this time she can forgo buying all of the sweets you want to avoid and then you won't have a choice but to eat the fruit.,Why didn't you eat the fruit your mom bought before?,"Do not be so hard on yourself, you can have a cheat day where you eat one or two bars of candy in a week. And then use the money you have saved from not eating sweets to buying some fruits you love.","I think you should try to have a serious conversation with your mom. Listen to her concerns, and also make your needs heard.",I know it's hard when you aren't making the purchasing decisions. Can you go grocery shopping with your mom and work together on healthier choices?,weight management / exercise
